+--------------------+------------------------------------+---------------------------------+----------------------------+
|         id         |           property_type            |            host_name            | COUNT(availabilities.date) |
| 894539             | Private room in bed and breakfast  | Jennifer                        | 9                          |
| 916123             | Entire condo                       | Jason                           | 9                          |
| 973695             | Private room in condo              | Claire                          | 9                          |
| 989163             | Room in aparthotel                 | Laura And Olivia                | 9                          |
| 1055627            | Entire rental unit                 | Lauren                          | 9                          |
| 1077105            | Entire rental unit                 | J                               | 9                          |
| 1092093            | Entire rental unit                 | Anne                            | 9                          |
| 1109224            | Entire rental unit                 | Lita                            | 9                          |
| 1130279            | Entire rental unit                 | Trisha                          | 9                          |
| 1252489            | Entire rental unit                 | Samantha                        | 9                          |
| 1275498            | Entire rental unit                 | Laura And Olivia                | 9                          |
| 1303261            | Entire rental unit                 | Larry                           | 9                          |
| 1321422            | Entire home                        | CarneyFamily                    | 9                          |
| 1340649            | Private room in condo              | Michaela                        | 9                          |
| 1374434            | Private room in rental unit        | Michelle                        | 9                          |
| 1374466            | Private room in home               | Michelle                        | 9                          |
| 1403408            | Private room in home               | Michelle                        | 9                          |
| 1425973            | Private room in home               | Viktoria                        | 9                          |
| 1445064            | Private room in rental unit        | Rosalia                         | 9                          |
| 1472520            | Private room in home               | CarneyFamily                    | 9                          |
| 1544144            | Entire townhouse                   | Nancy And Tom                   | 9                          |
| 1551205            | Entire rental unit                 | Hamed                           | 9                          |
| 1596470            | Entire townhouse                   | Michael                         | 9                          |
| 1644031            | Private room in townhouse          | Brooke                          | 9                          |
| 1668313            | Private room in home               | Rebecca                         | 9                          |
| 1682936            | Entire rental unit                 | Adriana & Gianni                | 9                          |
| 1692573            | Entire home                        | Kelly                           | 9                          |
| 1721016            | Entire loft                        | Fj                              | 9                          |
| 1724900            | Entire home                        | Fj                              | 9                          |
| 1732804            | Private room in rental unit        | Thomas                          | 9                          |
| 1810172            | Private room in home               | Rebecca                         | 9                          |
| 1810397            | Entire townhouse                   | Stacy                           | 9                          |
| 1819994            | Entire condo                       | Suzanne                         | 9                          |
| 1886037            | Entire rental unit                 | Daniel                          | 9                          |
| 1956275            | Entire rental unit                 | Emmanuel                        | 9                          |
| 2000797            | Private room in home               | Jessica                         | 9                          |
| 2014651            | Private room in rental unit        | Molly                           | 9                          |
| 2014882            | Private room in home               | Yossi                           | 9                          |
| 2021483            | Entire condo                       | Shannon                         | 9                          |
| 2021489            | Private room in condo              | Shannon                         | 9                          |
| 2108738            | Entire rental unit                 | Tom                             | 9                          |
| 2126053            | Entire rental unit                 | Janet                           | 9                          |
| 2141306            | Entire rental unit                 | Kyle                            | 9                          |
| 2183058            | Entire rental unit                 | Cindy & Mark                    | 9                          |
| 2183117            | Entire rental unit                 | Alla                            | 9                          |
| 2215762            | Entire rental unit                 | Laura And Olivia                | 9                          |
| 2262752            | Private room in rental unit        | Gretjen                         | 9                          |
| 2292495            | Entire rental unit                 | Glenn                           | 9                          |
| 2378421            | Entire guest suite                 | A And L                         | 9                          |
| 2395326            | Entire rental unit                 | Tim                             | 9                          |
| 2410846            | Entire rental unit                 | Local Furnished                 | 9                          |
| 2495047            | Entire rental unit                 | Laura And Olivia                | 9                          |
| 2526773            | Entire rental unit                 | Masha                           | 9                          |
| 2658094            | Entire rental unit                 | Dror                            | 9                          |
| 2672058            | Private room in rental unit        | Christie                        | 9                          |
| 2701124            | Entire rental unit                 | Varouj                          | 9                          |
| 2723274            | Entire condo                       | Albert                          | 9                          |
| 2754975            | Entire rental unit                 | Jonathan                        | 9                          |
| 2864688            | Private room in bed and breakfast  | Dawn                            | 9                          |
| 2886933            | Entire home                        | Katy                            | 9                          |
| 3129309            | Entire condo                       | Jason                           | 9                          |
| 3164650            | Entire guest suite                 | Jonathan                        | 9                          |
| 3193484            | Private room in rental unit        | Marie                           | 9                          |
| 3229255            | Entire rental unit                 | Ella & Will                     | 9                          |
| 3294152            | Entire guest suite                 | Jessica                         | 9                          |
| 3316049            | Entire rental unit                 | Jerry                           | 9                          |
| 3343428            | Private room in townhouse          | Jonathan                        | 9                          |
| 3344322            | Private room in home               | Jessica                         | 9                          |
| 3441982            | Entire guest suite                 | Jen                             | 9                          |
| 3457722            | Entire home                        | Jeff And Rachel                 | 9                          |
| 3463914            | Entire rental unit                 | Nathaniel                       | 9                          |
| 3520353            | Entire rental unit                 | Xerxes                          | 9                          |
| 3521944            | Entire rental unit                 | David                           | 9                          |
| 3539510            | Entire rental unit                 | Lance                           | 9                          |
| 3544343            | Entire rental unit                 | Christian                       | 9                          |
| 3602379            | Entire rental unit                 | Alex                            | 9                          |
| 3605045            | Shared room in home                | Stacey                          | 9                          |
| 3656168            | Private room in rental unit        | Huggy                           | 9                          |
| 3705824            | Private room in rental unit        | Huggy                           | 9                          |
| 3749523            | Entire home                        | Nicolo                          | 9                          |
| 3874798            | Entire condo                       | Marci                           | 9                          |
| 3890373            | Entire rental unit                 | Paul                            | 9                          |
| 3957602            | Private room in home               | Katharine (Kit) And Scott       | 9                          |
| 3965313            | Private room in home               | May                             | 9                          |
| 3968797            | Private room in home               | Jennifer                        | 9                          |
| 3969526            | Entire rental unit                 | Liesl                           | 9                          |
| 4000384            | Private room in home               | Evelyn                          | 9                          |
| 4089940            | Entire rental unit                 | Compass                         | 9                          |
| 4090224            | Entire home                        | Tiffany                         | 9                          |
| 4105704            | Entire rental unit                 | Helen                           | 9                          |
| 4119345            | Entire guesthouse                  | Woodruff                        | 9                          |
| 4148586            | Entire rental unit                 | Kelly                           | 9                          |
| 4150640            | Entire rental unit                 | Compass                         | 9                          |
| 4173285            | Private room in condo              | Angela                          | 9                          |
| 4233242            | Private room in rental unit        | Melissa                         | 9                          |
| 4257929            | Entire rental unit                 | Hayden                          | 9                          |
| 4263736            | Private room in townhouse          | Jonathan                        | 9                          |
| 4278067            | Entire rental unit                 | Glenn                           | 9                          |
| 4291607            | Entire rental unit                 | Vanessa                         | 9                          |
| 4348422            | Private room in rental unit        | Ashley                          | 9                          |
| 4364925            | Entire rental unit                 | Glenn                           | 9                          |
| 4364989            | Entire rental unit                 | Glenn                           | 9                          |
| 4410765            | Entire home                        | Patrick                         | 9                          |
| 4460532            | Private room in townhouse          | Jonathan                        | 9                          |
| 4461613            | Entire rental unit                 | Maverick                        | 9                          |
| 4461846            | Entire rental unit                 | Maverick                        | 9                          |
| 4461901            | Entire rental unit                 | Maverick                        | 9                          |
| 4500409            | Entire rental unit                 | Maverick                        | 9                          |
| 4555637            | Private room in townhouse          | Jonathan                        | 9                          |
| 4560053            | Entire rental unit                 | Terry                           | 9                          |
| 4566095            | Entire rental unit                 | Laura And Olivia                | 9                          |
| 4568116            | Entire rental unit                 | Jonathan                        | 9                          |
| 4573238            | Entire rental unit                 | Dror                            | 9                          |
| 4580825            | Entire rental unit                 | Dror                            | 9                          |
| 4593974            | Private room in rental unit        | Huggy                           | 9                          |
| 4593985            | Private room in rental unit        | Huggy                           | 9                          |
| 4602191            | Entire rental unit                 | Alex @ Bcohousing               | 9                          |
| 4614037            | Entire rental unit                 | Elisangela                      | 9                          |
| 4623114            | Entire rental unit                 | Maverick                        | 9                          |
| 4624582            | Private room in rental unit        | Huggy                           | 9                          |
| 4625517            | Private room in home               | Chun Kei                        | 9                          |
| 4630071            | Entire rental unit                 | Masha                           | 9                          |
| 4662379            | Entire home                        | Matt                            | 9                          |
| 4698367            | Entire rental unit                 | John                            | 10                         |
| 4699828            | Entire home                        | Barbara                         | 9                          |
| 4710583            | Private room in home               | Marlene                         | 9                          |
| 4737304            | Private room in home               | Deborah                         | 9                          |
| 4755586            | Private room in home               | Andrea                          | 9                          |
| 4757808            | Entire rental unit                 | Nino                            | 9                          |
| 4765070            | Entire rental unit                 | Katty                           | 9                          |
| 4863108            | Private room in home               | John                            | 9                          |
| 4909590            | Entire rental unit                 | Vj                              | 10                         |
| 4995033            | Entire rental unit                 | Natasha                         | 9                          |
| 5019306            | Entire home                        | Vicki                           | 9                          |
| 5048406            | Private room in home               | Yvonne                          | 9                          |
| 5049582            | Private room in rental unit        | Melissa                         | 10                         |
| 5054601            | Private room in home               | Manuela                         | 9                          |
| 5088560            | Entire rental unit                 | Susan                           | 9                          |
| 5166870            | Entire rental unit                 | Matt And Eva                    | 9                          |
| 5203538            | Entire townhouse                   | Jim                             | 9                          |
| 5317935            | Entire home                        | Bandita                         | 9                          |
| 5358934            | Private room in rental unit        | Huggy                           | 9                          |
| 5364137            | Entire condo                       | Gavin                           | 9                          |
| 5371051            | Entire guest suite                 | Bernard                         | 9                          |
| 5434353            | Entire home                        | Anthony                         | 9                          |
| 5478135            | Entire home                        | Elizabeth                       | 9                          |
| 5495267            | Private room in rental unit        | Huggy                           | 9                          |
| 5526487            | Entire rental unit                 | Terry                           | 9                          |
| 5526514            | Entire rental unit                 | Terry                           | 9                          |
| 5581575            | Entire rental unit                 | Kathy                           | 9                          |
| 5690424            | Entire rental unit                 | Gloria                          | 9                          |
| 5709298            | Entire rental unit                 | Jay                             | 9                          |
| 5718801            | Entire rental unit                 | Maverick                        | 9                          |
| 5726250            | Entire home                        | Heather And Mike                | 9                          |
| 5738018            | Entire rental unit                 | Samuel                          | 9                          |
| 5768819            | Entire rental unit                 | Maverick                        | 9                          |
| 5769127            | Entire rental unit                 | Maverick                        | 9                          |
| 5775139            | Private room in villa              | Nesli                           | 9                          |
| 5781926            | Entire home                        | Amy                             | 9                          |
| 5782221            | Entire condo                       | Gina                            | 9                          |
| 5813177            | Entire rental unit                 | Patlapa                         | 9                          |
| 5856633            | Entire home                        | Kate                            | 9                          |
| 5870922            | Private room in home               | Todd                            | 10                         |
| 5919529            | Entire townhouse                   | Jenny                           | 9                          |
| 5927267            | Private room in home               | Manuela                         | 9                          |
| 5932402            | Private room in rental unit        | Tad                             | 9                          |
| 5940866            | Private room in townhouse          | Valerie                         | 9                          |
| 5967421            | Private room in home               | Todd                            | 9                          |
| 6080461            | Entire rental unit                 | Terry                           | 9                          |
| 6089865            | Entire condo                       | Jason                           | 9                          |
| 6119918            | Entire condo                       | Sanjay                          | 9                          |
| 6131224            | Entire rental unit                 | Lawrence                        | 9                          |
| 6179374            | Private room in home               | Home On Blaine                  | 9                          |
| 6214710            | Entire rental unit                 | M                               | 9                          |
| 6227976            | Private room in home               | Charles And Grace               | 9                          |
| 6238463            | Private room in townhouse          | Penny                           | 9                          |
| 6248970            | Private room in rental unit        | Shawn                           | 9                          |
| 6317446            | Entire rental unit                 | Jason                           | 9                          |
| 6317722            | Entire rental unit                 | Jason                           | 9                          |
| 6377998            | Entire home                        | Helder                          | 9                          |
| 6426364            | Entire rental unit                 | Glenn                           | 9                          |
| 6465075            | Entire condo                       | Catlin                          | 9                          |
| 6489209            | Private room in home               | Manuela                         | 9                          |
| 6544267            | Entire rental unit                 | Kai                             | 9                          |
| 6603827            | Private room in home               | Barrie                          | 9                          |
| 6609546            | Private room in rental unit        | George                          | 9                          |
| 6646604            | Entire rental unit                 | Kama                            | 9                          |
| 6690605            | Entire rental unit                 | Jennifer                        | 9                          |
| 6746543            | Entire rental unit                 | Jordan                          | 9                          |
| 6758443            | Entire rental unit                 | Maverick                        | 9                          |
| 6758462            | Entire rental unit                 | Maverick                        | 9                          |
| 6758482            | Entire rental unit                 | Maverick                        | 9                          |
| 6759004            | Entire rental unit                 | Maverick                        | 9                          |
| 6759439            | Entire rental unit                 | Maverick                        | 9                          |
| 6762011            | Entire rental unit                 | Maverick                        | 9                          |
| 6763409            | Entire rental unit                 | Maverick                        | 9                          |
| 6780077            | Private room in home               | Jessica                         | 10                         |
| 6793945            | Entire rental unit                 | Andrew                          | 9                          |
| 6800522            | Private room in rental unit        | Huggy                           | 9                          |
| 6810723            | Entire rental unit                 | Maverick                        | 9                          |
| 6819620            | Private room in rental unit        | Huggy                           | 9                          |
| 6823017            | Private room in home               | Yi                              | 9                          |
| 6843795            | Entire rental unit                 | Helen                           | 9                          |
| 6851459            | Entire rental unit                 | Maverick                        | 9                          |
| 6851460            | Entire rental unit                 | Maverick                        | 9                          |
| 6862594            | Private room in home               | Edward                          | 9                          |
| 6879036            | Entire rental unit                 | Maverick                        | 9                          |
| 6882615            | Entire rental unit                 | Maverick                        | 9                          |
| 6908525            | Entire rental unit                 | Maverick                        | 9                          |
| 6914155            | Private room in rental unit        | Kimberly                        | 9                          |
| 6914622            | Entire condo                       | Julie                           | 9                          |
| 6921672            | Entire rental unit                 | Jessica                         | 9                          |
| 7018497            | Entire rental unit                 | George                          | 9                          |
| 7053454            | Private room in home               | Ryan                            | 9                          |
| 7054912            | Entire rental unit                 | Richard                         | 9                          |
| 7086825            | Private room in home               | Barrie                          | 9                          |
| 7093184            | Private room in rental unit        | Huggy                           | 9                          |
| 7161203            | Private room in rental unit        | Huggy                           | 9                          |
| 7222349            | Private room in home               | Minter                          | 9                          |
| 7239024            | Private room in home               | Minter                          | 9                          |
| 7279874            | Entire rental unit                 | Pragya                          | 9                          |
| 7281884            | Entire home                        | Tyree                           | 9                          |
| 7287822            | Entire guest suite                 | Susan                           | 9                          |
| 7298966            | Entire condo                       | Dustin                          | 9                          |
| 7308623            | Private room in rental unit        | Carolyn                         | 9                          |
| 7310887            | Entire home                        | Joel                            | 9                          |
| 7330494            | Entire rental unit                 | Katarzyna                       | 9                          |
| 7333304            | Private room in rental unit        | Dawn                            | 9                          |
| 7453991            | Private room in rental unit        | Steve                           | 9                          |
| 7474044            | Entire rental unit                 | Maverick                        | 9                          |
| 7474855            | Entire rental unit                 | Maverick                        | 9                          |
| 7475052            | Entire rental unit                 | Maverick                        | 9                          |
| 7475215            | Entire rental unit                 | Maverick                        | 9                          |
| 7475379            | Entire rental unit                 | Maverick                        | 9                          |
| 7475573            | Entire rental unit                 | Maverick                        | 9                          |
| 7476340            | Entire rental unit                 | Maverick                        | 9                          |
| 7479725            | Private room in home               | Marlene                         | 9                          |
| 7482195            | Private room in home               | Barrie                          | 9                          |
| 7499960            | Entire condo                       | Suzanne                         | 9                          |
| 7511737            | Entire rental unit                 | Maverick                        | 9                          |
| 7513605            | Entire rental unit                 | Maverick                        | 9                          |
| 7513906            | Entire rental unit                 | Maverick                        | 9                          |
| 7514024            | Entire rental unit                 | Maverick                        | 9                          |
| 7514336            | Entire rental unit                 | Maverick                        | 9                          |
| 7527149            | Entire rental unit                 | Peter                           | 9                          |
| 7531700            | Entire rental unit                 | Maverick                        | 9                          |
| 7539864            | Entire home                        | Bruce                           | 9                          |
| 7575052            | Entire rental unit                 | Glenn                           | 9                          |
| 7611271            | Entire townhouse                   | Katie                           | 9                          |
| 7635616            | Entire rental unit                 | Maverick                        | 9                          |
| 7637094            | Entire condo                       | Shannon                         | 9                          |
| 7692933            | Private room in townhouse          | Phyllis                         | 9                          |
| 7694365            | Entire rental unit                 | Maverick                        | 9                          |
| 7694559            | Entire rental unit                 | Maverick                        | 9                          |
| 7713815            | Entire rental unit                 | Maverick                        | 9                          |
| 7728499            | Entire rental unit                 | Maverick                        | 9                          |
| 7832890            | Entire rental unit                 | Maverick                        | 9                          |
| 7837202            | Entire rental unit                 | Maverick                        | 9                          |
| 7854872            | Entire rental unit                 | Maverick                        | 9                          |
| 7856208            | Private room in rental unit        | Ira                             | 9                          |
| 7910223            | Entire guest suite                 | Lori                            | 9                          |
| 7911936            | Entire rental unit                 | Maverick                        | 9                          |
| 7913309            | Entire rental unit                 | Mufaddal                        | 9                          |
| 7916575            | Entire rental unit                 | Maverick                        | 9                          |
| 7920759            | Entire condo                       | Mike                            | 9                          |
| 7927765            | Private room in rental unit        | Agnieszka                       | 9                          |
| 7934491            | Private room in rental unit        | Agnieszka                       | 9                          |
| 7939556            | Private room in rental unit        | Agnieszka                       | 9                          |
| 7949859            | Private room in rental unit        | Agnieszka                       | 9                          |
| 7984226            | Entire rental unit                 | Janna                           | 9                          |
| 8014642            | Private room in home               | Arnaldo                         | 9                          |
| 8014683            | Entire condo                       | Abhishek                        | 9                          |
| 8025718            | Entire rental unit                 | Maverick                        | 9                          |
| 8042434            | Entire condo                       | Anne                            | 9                          |
| 8055839            | Entire rental unit                 | Kevin                           | 9                          |
| 8067585            | Private room in home               | Hannah & Philip                 | 9                          |
| 8082512            | Entire rental unit                 | Maverick                        | 9                          |
| 8112652            | Private room in home               | Home On Blaine                  | 9                          |
| 8170181            | Entire rental unit                 | Mark                            | 9                          |
| 8206536            | Entire rental unit                 | Maverick                        | 9                          |
| 8227206            | Entire rental unit                 | Taylor                          | 9                          |
| 8231382            | Entire condo                       | Gavin                           | 9                          |
| 8381472            | Entire rental unit                 | Nick                            | 9                          |
| 8390793            | Private room in rental unit        | Jorge                           | 9                          |
| 8402408            | Private room in loft               | Betsy                           | 9                          |
| 8403945            | Entire rental unit                 | Maverick                        | 9                          |
| 8483020            | Entire guesthouse                  | Mark                            | 9                          |
| 8490356            | Private room in home               | Andre                           | 10                         |
| 8518237            | Entire rental unit                 | James                           | 9                          |
| 8552338            | Private room in home               | Marlene                         | 9                          |
| 8553163            | Entire condo                       | Rob                             | 9                          |
| 8584276            | Entire condo                       | Elly                            | 9                          |
| 8596566            | Entire townhouse                   | Jonas                           | 9                          |
| 8634599            | Private room in guest suite        | Jil                             | 9                          |
| 8645254            | Private room in home               | Becky                           | 9                          |
| 8720718            | Entire guest suite                 | Riyo                            | 9                          |
| 8732121            | Entire rental unit                 | Maverick                        | 9                          |
| 8734707            | Private room in townhouse          | Celia                           | 10                         |
| 8884103            | Private room in rental unit        | Caroline                        | 9                          |
| 8904297            | Private room in home               | Sandy                           | 9                          |
| 8904656            | Private room in home               | Sandy                           | 9                          |
| 8908145            | Private room in guest suite        | Jil                             | 9                          |
| 8923817            | Entire rental unit                 | Jil                             | 9                          |
| 8947232            | Private room in rental unit        | Marie                           | 9                          |
| 9018434            | Entire rental unit                 | Natalia                         | 9                          |
| 9030478            | Private room in home               | Taylor                          | 9                          |
| 9078998            | Entire rental unit                 | Patrick                         | 9                          |
| 9110103            | Entire rental unit                 | KerrieAnn                       | 9                          |
| 9110708            | Entire rental unit                 | Linh                            | 9                          |
| 9114896            | Entire rental unit                 | Marc                            | 9                          |
| 9130532            | Entire rental unit                 | Reitumetse                      | 9                          |
| 9133627            | Entire rental unit                 | Maverick                        | 9                          |
| 9148781            | Entire rental unit                 | Laura And Olivia                | 9                          |
| 9166393            | Private room in home               | Ricardo                         | 9                          |
